timestamp,exchange,event_type,route,surface_perc,real_perc,net_perc,filled_fraction
2026-05-19T19:06:16.976,binance,gate_cross_up,"USDC_USDT,VANRY_USDT,VANRY_USDC",0.37955289,,,0.0195
2026-05-19T19:06:16.976,binance,gate_cross_up,"VANRY_TRY,USDC_TRY,VANRY_USDC",0.36589575,,,0.3211
2026-05-19T19:06:17.488,binance,gate_cross_down,"USDC_USDT,VANRY_USDT,VANRY_USDC",0.00000000,,,
2026-05-19T19:06:17.488,binance,gate_cross_down,"VANRY_TRY,USDC_TRY,VANRY_USDC",0.00000000,,,
2026-05-19T19:07:56.566,binance,gate_cross_up,"USDC_USDT,VANRY_USDT,VANRY_USDC",0.37955289,,,0.8567
2026-05-19T19:07:56.566,binance,gate_cross_up,"VANRY_TRY,USDC_TRY,VANRY_USDC",0.40987730,,,0.3210
2026-05-19T19:07:57.086,binance,gate_cross_down,"USDC_USDT,VANRY_USDT,VANRY_USDC",0.00000000,,,
2026-05-19T19:07:57.086,binance,gate_cross_down,"VANRY_TRY,USDC_TRY,VANRY_USDC",0.00000000,,,
2026-05-19T19:53:34.218,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.32136240,0.32136240,-0.07863760,
2026-05-19T19:53:34.268,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T19:53:35.789,binance,gate_cross_up,"USDC_USDT,VANRY_USDT,VANRY_USDC",0.35856443,,,0.8625
2026-05-19T19:53:35.789,binance,gate_cross_up,"VANRY_TRY,USDC_TRY,VANRY_USDC",0.36545257,,,0.0212
2026-05-19T19:53:36.316,binance,gate_cross_down,"USDC_USDT,VANRY_USDT,VANRY_USDC",0.00000000,,,
2026-05-19T19:53:36.316,binance,gate_cross_down,"VANRY_TRY,USDC_TRY,VANRY_USDC",0.00000000,,,
2026-05-19T19:56:34.460,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.41221261,,,0.7433
2026-05-19T19:56:34.511,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T19:58:22.648,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.35889490,,,0.1291
2026-05-19T19:58:22.698,binance,gate_cross_down,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.00000000,,,
2026-05-19T19:58:24.195,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.32177340,0.32177340,-0.07822660,
2026-05-19T19:58:24.247,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.12448378,,,
2026-05-19T19:58:28.225,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,,,0.7432
2026-05-19T19:58:28.276,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:58:28.326,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.69236304,,,0.7432
2026-05-19T19:58:28.376,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:58:29.789,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.32177340,0.32177340,-0.07822660,
2026-05-19T19:58:29.842,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.00000000,,,
2026-05-19T19:58:43.782,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:58:44.000,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.20165952,,,
2026-05-19T19:58:46.829,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
2026-05-19T19:58:46.879,binance,gate_cross_up,"USDC_USDT,FOGO_USDT,FOGO_USDC",0.46676208,0.46676208,0.06676208,
2026-05-19T19:58:47.183,binance,gate_cross_down,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.10351882,,,
2026-05-19T19:58:47.387,binance,gate_cross_up,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.33372184,,,0.5668
2026-05-19T19:58:47.806,binance,gate_cross_down,"USDC_TRY,FOGO_TRY,FOGO_USDC",0.23554795,,,
2026-05-19T19:58:48.213,binance,gate_cross_up,"USDT_TRY,FOGO_TRY,FOGO_USDT",0.39794093,0.39794093,-0.00205907,
